iter	Passed	Remaining
0	12	2392
1	22	2248
2	52	3446
3	89	4372
4	100	3925
5	137	4446
6	152	4218
7	167	4012
8	181	3845
9	186	3543
10	192	3302
11	201	3157
12	207	2985
13	215	2866
14	222	2741
15	229	2642
16	234	2527
17	240	2431
18	245	2333
19	249	2245
20	254	2168
21	258	2094
22	263	2028
23	268	1968
24	274	1924
25	279	1872
26	284	1825
27	289	1779
28	294	1735
29	299	1695
30	304	1660
31	309	1622
32	313	1586
33	319	1561
34	324	1528
35	328	1497
36	333	1470
37	340	1452
38	345	1427
39	351	1406
40	357	1386
41	362	1365
42	368	1345
43	374	1326
44	379	1305
45	384	1287
46	388	1265
47	394	1248
48	399	1231
49	404	1212
50	409	1195
51	413	1177
52	418	1161
53	426	1152
54	431	1138
55	436	1121
56	440	1105
57	444	1089
58	449	1075
59	455	1061
60	459	1046
61	461	1026
62	467	1016
63	471	1002
64	473	983
65	478	971
66	484	961
67	489	950
68	494	939
69	499	928
70	504	916
71	508	904
72	514	895
73	519	884
74	523	872
75	529	863
76	533	851
77	537	840
78	542	830
79	547	820
80	551	810
81	555	800
82	560	790
83	565	780
84	569	770
85	574	761
86	579	753
87	585	745
88	590	735
89	596	728
90	600	719
91	605	710
92	611	703
93	615	694
94	620	685
95	626	678
96	630	669
97	635	661
98	640	653
99	645	645
100	649	636
101	654	628
102	660	621
103	664	613
104	669	605
105	675	599
106	680	591
107	684	582
108	689	575
109	694	568
110	699	560
111	704	553
112	709	546
113	715	539
114	720	532
115	725	525
116	730	518
117	734	510
118	740	504
119	748	498
120	752	491
121	757	484
122	762	477
123	767	470
124	773	464
125	777	456
126	782	449
127	787	443
128	793	436
129	798	429
130	803	423
131	808	416
132	812	409
133	817	402
134	823	396
135	827	389
136	832	382
137	837	376
138	842	369
139	847	363
140	853	356
141	857	350
142	862	343
143	867	337
144	872	330
145	876	324
146	881	317
147	887	311
148	892	305
149	897	299
150	903	293
151	908	286
152	912	280
153	918	274
154	922	267
155	927	261
156	931	255
157	936	248
158	940	242
159	945	236
160	951	230
161	955	224
162	960	218
163	965	212
164	970	205
165	975	199
166	980	193
167	984	187
168	989	181
169	994	175
170	1000	169
171	1006	163
172	1011	157
173	1017	151
174	1021	145
175	1026	139
176	1032	134
177	1036	128
178	1040	122
179	1046	116
180	1050	110
181	1055	104
182	1060	98
183	1067	92
184	1073	87
185	1079	81
186	1083	75
187	1087	69
188	1092	63
189	1099	57
190	1104	52
191	1109	46
192	1114	40
193	1119	34
194	1123	28
195	1129	23
196	1132	17
197	1137	11
198	1142	5
199	1147	0
