iter	Passed	Remaining
657	1702	884
658	1705	882
659	1707	879
660	1709	876
661	1712	874
662	1714	871
663	1719	869
664	1722	867
665	1724	864
666	1726	861
667	1728	859
668	1730	856
669	1733	853
670	1735	851
671	1737	848
672	1740	845
673	1742	843
674	1747	841
675	1750	839
676	1753	836
677	1755	833
678	1757	830
679	1759	828
680	1764	826
681	1766	823
682	1769	821
683	1773	819
684	1777	817
685	1779	814
686	1782	812
687	1784	809
688	1786	806
689	1788	803
690	1792	801
691	1794	798
692	1797	796
693	1799	793
694	1801	790
695	1803	787
696	1807	785
697	1809	783
698	1812	780
699	1814	777
700	1816	774
701	1818	771
702	1820	769
703	1824	767
704	1827	764
705	1830	762
706	1832	759
707	1834	756
708	1838	754
709	1839	751
710	1843	749
711	1845	746
712	1847	743
713	1850	741
714	1852	738
715	1855	736
716	1858	733
717	1862	731
718	1864	728
719	1868	726
720	1872	724
721	1874	721
722	1876	718
723	1878	716
724	1881	713
725	1886	711
726	1889	709
727	1892	706
728	1894	704
729	1897	701
730	1902	699
731	1904	697
732	1906	694
733	1908	691
734	1910	688
735	1914	686
736	1917	684
737	1919	681
738	1921	678
739	1923	675
740	1925	673
741	1929	670
742	1932	668
743	1935	665
744	1937	663
745	1939	660
746	1941	657
747	1944	655
748	1947	652
749	1949	649
750	1951	647
751	1953	644
752	1955	641
753	1958	638
754	1960	636
755	1963	633
756	1965	630
757	1967	628
758	1969	625
759	1971	622
760	1974	620
761	1976	617
762	1979	614
763	1981	612
764	1983	609
765	1985	606
766	1988	604
767	1991	601
768	1993	598
769	1995	596
770	1997	593
771	1999	590
772	2001	587
773	2005	585
774	2007	582
775	2009	580
776	2011	577
777	2013	574
778	2015	571
779	2017	569
780	2021	566
781	2023	564
782	2025	561
783	2028	558
784	2030	556
785	2034	553
786	2036	551
787	2039	548
788	2041	546
789	2043	543
790	2045	540
791	2049	538
792	2051	535
793	2053	532
794	2055	530
795	2057	527
796	2059	524
797	2069	523
798	2072	521
799	2074	518
800	2077	516
801	2079	513
802	2082	510
803	2085	508
804	2087	505
805	2090	503
806	2092	500
807	2095	498
808	2098	495
809	2101	492
810	2103	490
811	2105	487
812	2107	484
813	2111	482
814	2114	479
815	2116	477
816	2118	474
817	2121	472
818	2125	469
819	2130	467
820	2132	464
821	2134	462
822	2136	459
823	2138	456
824	2142	454
825	2145	451
826	2147	449
827	2149	446
828	2151	443
829	2153	441
830	2157	438
831	2160	436
832	2162	433
833	2164	430
834	2166	428
835	2168	425
836	2172	423
837	2175	420
838	2177	417
839	2180	415
840	2182	412
841	2184	409
842	2188	407
843	2191	404
844	2193	402
845	2195	399
846	2197	396
847	2200	394
848	2202	391
849	2205	389
850	2207	386
851	2210	383
852	2212	381
853	2214	378
854	2217	376
855	2220	373
856	2223	371
857	2226	368
858	2228	365
859	2232	363
860	2235	360
861	2239	358
862	2242	355
863	2244	353
864	2248	350
865	2251	348
866	2254	345
867	2256	343
868	2258	340
869	2260	337
870	2264	335
871	2267	332
872	2269	330
873	2271	327
874	2273	324
875	2275	322
876	2279	319
877	2282	317
878	2284	314
879	2286	311
880	2289	309
881	2291	306
882	2294	303
883	2296	301
884	2298	298
885	2300	296
886	2302	293
887	2304	290
888	2308	288
889	2311	285
890	2314	283
891	2316	280
892	2318	277
893	2321	275
894	2324	272
895	2326	270
896	2328	267
897	2330	264
898	2332	262
899	2334	259
900	2337	256
901	2339	254
902	2342	251
903	2344	248
904	2346	246
905	2348	243
906	2350	241
907	2353	238
908	2358	236
909	2361	233
910	2363	230
911	2365	228
912	2367	225
913	2370	223
914	2373	220
915	2375	217
916	2377	215
917	2379	212
918	2382	209
919	2384	207
920	2386	204
921	2388	202
922	2390	199
923	2392	196
924	2394	194
925	2401	191
926	2405	189
927	2408	186
928	2410	184
929	2413	181
930	2417	179
931	2420	176
932	2422	173
933	2424	171
934	2426	168
935	2430	166
936	2433	163
937	2435	160
938	2437	158
939	2439	155
940	2441	153
941	2444	150
942	2446	147
943	2449	145
944	2451	142
945	2453	140
946	2455	137
947	2457	134
948	2460	132
949	2462	129
950	2464	126
951	2466	124
952	2468	121
953	2471	119
954	2473	116
955	2475	113
956	2477	111
957	2480	108
958	2482	106
959	2484	103
960	2486	100
961	2489	98
962	2491	95
963	2494	93
964	2496	90
965	2498	87
966	2500	85
967	2502	82
968	2506	80
969	2510	77
970	2512	75
971	2515	72
972	2517	69
973	2519	67
974	2522	64
975	2524	62
976	2527	59
977	2529	56
978	2531	54
979	2533	51
980	2536	49
981	2539	46
982	2542	43
983	2544	41
984	2546	38
985	2548	36
986	2551	33
987	2555	31
988	2558	28
989	2561	25
990	2567	23
991	2571	20
992	2573	18
993	2575	15
994	2577	12
995	2579	10
996	2584	7
997	2586	5
998	2588	2
999	2590	0
